Method,Content,Style,Alpha,Beta,ExecTime(s),OutputPath,SSIM,LPIPS
Gatys,content1.jpg,style1.jpg,1000.0,0.01,4.6643216,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_1_1.jpg,0.5213844583550591,0.2721804976463318
TF-Hub,content1.jpg,style1.jpg,,,2.1217462,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_1_1.jpg,0.2724796101075636,0.4802348017692566
AdaIN,content1.jpg,style1.jpg,0.8,,0.022791,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_1_1.jpg,0.14561537776718006,0.46813932061195374
Gatys,content1.jpg,style2.jpg,1000.0,0.01,1.6777398,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_1_2.jpg,0.5579974854635149,0.33446452021598816
TF-Hub,content1.jpg,style2.jpg,,,2.0846512,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_1_2.jpg,0.27564574501741085,0.6735347509384155
AdaIN,content1.jpg,style2.jpg,0.8,,0.0119316,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_1_2.jpg,0.1999115409929562,0.5864623785018921
Gatys,content1.jpg,style3.jpg,1000.0,0.01,1.649268,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_1_3.jpg,0.587757933967343,0.2035994529724121
TF-Hub,content1.jpg,style3.jpg,,,2.0208496,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_1_3.jpg,0.348028669936116,0.5600309371948242
AdaIN,content1.jpg,style3.jpg,0.8,,0.0109715,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_1_3.jpg,0.30851703396554553,0.4869352877140045
Gatys,content2.jpg,style1.jpg,1000.0,0.01,1.6181111,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_2_1.jpg,0.634994059612665,0.2724694013595581
TF-Hub,content2.jpg,style1.jpg,,,1.9725252,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_2_1.jpg,0.3510455538559264,0.4157472550868988
AdaIN,content2.jpg,style1.jpg,0.8,,0.0110785,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_2_1.jpg,0.22563341585036661,0.31750720739364624
Gatys,content2.jpg,style2.jpg,1000.0,0.01,1.7589069,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_2_2.jpg,0.6592569528779465,0.265097975730896
TF-Hub,content2.jpg,style2.jpg,,,2.10721,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_2_2.jpg,0.3215059648876725,0.562660813331604
AdaIN,content2.jpg,style2.jpg,0.8,,0.0106416,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_2_2.jpg,0.295771328297899,0.3610740900039673
Gatys,content2.jpg,style3.jpg,1000.0,0.01,1.6542314,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_2_3.jpg,0.6539572142477771,0.2135278582572937
TF-Hub,content2.jpg,style3.jpg,,,1.9502221,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_2_3.jpg,0.3444968214765544,0.4640706777572632
AdaIN,content2.jpg,style3.jpg,0.8,,0.0163779,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_2_3.jpg,0.3159311914070206,0.31462323665618896
Gatys,content3.jpg,style1.jpg,1000.0,0.01,1.6183289,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_3_1.jpg,0.594916738866275,0.2955572307109833
TF-Hub,content3.jpg,style1.jpg,,,2.0280273,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_3_1.jpg,0.3166046048855099,0.5799398422241211
AdaIN,content3.jpg,style1.jpg,0.8,,0.0116918,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_3_1.jpg,0.25706320008048084,0.5646313428878784
Gatys,content3.jpg,style2.jpg,1000.0,0.01,1.7952503,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_3_2.jpg,0.5536011637819874,0.38126271963119507
TF-Hub,content3.jpg,style2.jpg,,,1.9784148,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_3_2.jpg,0.3108348114233899,0.680336058139801
AdaIN,content3.jpg,style2.jpg,0.8,,0.0190824,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_3_2.jpg,0.3304928017084081,0.5895745754241943
Gatys,content3.jpg,style3.jpg,1000.0,0.01,1.6060449,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\gatys_3_3.jpg,0.6759511669200764,0.2298905849456787
TF-Hub,content3.jpg,style3.jpg,,,2.0050747,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\tfhub_3_3.jpg,0.3822377440287988,0.6048189401626587
AdaIN,content3.jpg,style3.jpg,0.8,,0.0101031,C:\Users\OMAR-HP\Desktop\Final_NST_Project\output\batch\adain_3_3.jpg,0.5024152276258913,0.4007861316204071
